Student ID,module_code,assessment_number,score,progress_in_semester
44259391,CS161,1,0.0,0.1
36458945,CS161,1,75.0,0.1
29444926,CS161,1,100.0,0.1
88962100,CS161,1,100.0,0.1
28355991,CS161,1,0.0,0.1
57325329,CS161,1,50.0,0.1
61051356,CS161,1,100.0,0.1
82554050,CS161,1,100.0,0.1
53679865,CS161,1,100.0,0.1
54272087,CS161,1,100.0,0.1
70486795,CS161,1,100.0,0.1
68439715,CS161,1,100.0,0.1
28916910,CS161,1,100.0,0.1
72692928,CS161,1,38.0,0.1
39812656,CS161,1,100.0,0.1
42687541,CS161,1,100.0,0.1
91016743,CS161,1,100.0,0.1
71058846,CS161,1,96.0,0.1
22105353,CS161,1,100.0,0.1
70086521,CS161,1,50.0,0.1
10700295,CS161,1,100.0,0.1
44013913,CS161,1,90.0,0.1
73625555,CS161,1,100.0,0.1
77471025,CS161,1,100.0,0.1
37720912,CS161,1,50.0,0.1
45990970,CS161,1,88.0,0.1
12230549,CS161,1,50.0,0.1
99046614,CS161,1,100.0,0.1
19880196,CS161,1,100.0,0.1
67413804,CS161,1,99.0,0.1
92244107,CS161,1,100.0,0.1
90239774,CS161,1,100.0,0.1
93947522,CS161,1,0.0,0.1
14532650,CS161,1,100.0,0.1
99403012,CS161,1,100.0,0.1
52701053,CS161,1,100.0,0.1
64723117,CS161,1,92.0,0.1
57282663,CS161,1,50.0,0.1
72729148,CS161,1,96.0,0.1
29195474,CS161,1,50.0,0.1
83496795,CS161,1,100.0,0.1
64316426,CS161,1,100.0,0.1
39518199,CS161,1,100.0,0.1
78735752,CS161,1,100.0,0.1
72056551,CS161,1,100.0,0.1
47380529,CS161,1,100.0,0.1
16238312,CS161,1,100.0,0.1
83078402,CS161,1,100.0,0.1
30717488,CS161,1,100.0,0.1
56472638,CS161,1,100.0,0.1
68074530,CS161,1,100.0,0.1
94998106,CS161,1,90.0,0.1
75640034,CS161,1,0.0,0.1
64734377,CS161,1,50.0,0.1
44513932,CS161,1,100.0,0.1
34164438,CS161,1,100.0,0.1
74247101,CS161,1,50.0,0.1
37861048,CS161,1,25.0,0.1
40963132,CS161,1,100.0,0.1
22290486,CS161,1,100.0,0.1
92536739,CS161,1,100.0,0.1
96631030,CS161,1,100.0,0.1
30851750,CS161,1,61.0,0.1
11968244,CS161,1,100.0,0.1
82500610,CS161,1,100.0,0.1
33021789,CS161,1,100.0,0.1
89070671,CS161,1,100.0,0.1
14804335,CS161,1,100.0,0.1
65115725,CS161,1,0.0,0.1
72777338,CS161,1,100.0,0.1
41860313,CS161,1,100.0,0.1
76691322,CS161,1,100.0,0.1
15711707,CS161,1,100.0,0.1
14023706,CS161,1,100.0,0.1
18280022,CS161,1,100.0,0.1
96939852,CS161,1,98.0,0.1
50192240,CS161,1,100.0,0.1
93641353,CS161,1,100.0,0.1
42867665,CS161,1,0.0,0.1
75033531,CS161,1,0.0,0.1
18094987,CS161,1,100.0,0.1
86253272,CS161,1,100.0,0.1
40584220,CS161,1,100.0,0.1
98530304,CS161,1,0.0,0.1
23061621,CS161,1,100.0,0.1
61861882,CS161,1,100.0,0.1
15168545,CS161,1,100.0,0.1
26832681,CS161,1,100.0,0.1
70526424,CS161,1,0.0,0.1
92121028,CS161,1,100.0,0.1
94059794,CS161,1,100.0,0.1
46244140,CS161,1,100.0,0.1
82996017,CS161,1,50.0,0.1
53220917,CS161,1,100.0,0.1
15446974,CS161,1,31.0,0.1
59293621,CS161,1,100.0,0.1
82214753,CS161,1,100.0,0.1
21815986,CS161,1,71.0,0.1
89660073,CS161,1,98.0,0.1
17744422,CS161,1,88.0,0.1
13845265,CS161,1,100.0,0.1
55418801,CS161,1,100.0,0.1
32150780,CS161,1,100.0,0.1
40541902,CS161,1,0.0,0.1
96584519,CS161,1,100.0,0.1
48627789,CS161,1,0.0,0.1
75234910,CS161,1,100.0,0.1
37734403,CS161,1,100.0,0.1
54202295,CS161,1,33.0,0.1
43297874,CS161,1,100.0,0.1
79670982,CS161,1,100.0,0.1
21910507,CS161,1,90.0,0.1
77958105,CS161,1,98.0,0.1
24014421,CS161,1,0.0,0.1
28613839,CS161,1,100.0,0.1
11435169,CS161,1,100.0,0.1
48251029,CS161,1,100.0,0.1
24642845,CS161,1,100.0,0.1
32793157,CS161,1,100.0,0.1
53033989,CS161,1,25.0,0.1
45213749,CS161,1,100.0,0.1
97775926,CS161,1,100.0,0.1
76931823,CS161,1,100.0,0.1
77783669,CS161,1,100.0,0.1
56197684,CS161,1,0.0,0.1
67563666,CS161,1,100.0,0.1
91799031,CS161,1,38.0,0.1
91779366,CS161,1,100.0,0.1
37503866,CS161,1,100.0,0.1
35282012,CS161,1,100.0,0.1
18065078,CS161,1,100.0,0.1
79927954,CS161,1,100.0,0.1
49135579,CS161,1,38.0,0.1
43426555,CS161,1,100.0,0.1
55898988,CS161,1,100.0,0.1
60042038,CS161,1,100.0,0.1
76615032,CS161,1,100.0,0.1
49152359,CS161,1,0.0,0.1
27228934,CS161,1,100.0,0.1
13969648,CS161,1,100.0,0.1
87868419,CS161,1,100.0,0.1
82478159,CS161,1,75.0,0.1
87937302,CS161,1,100.0,0.1
93258021,CS161,1,100.0,0.1
57357102,CS161,1,100.0,0.1
13912660,CS161,1,100.0,0.1
49940417,CS161,1,100.0,0.1
68661280,CS161,1,0.0,0.1
54081596,CS161,1,100.0,0.1
81124900,CS161,1,100.0,0.1
