Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Average Grade,Labs Completed
94059794,100.0,90.0,100.0,80.0,100.0,56.0,100.0,100.0,100.0,100.0,92.6,10
46244140,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
82996017,50.0,56.0,0.0,29.0,65.0,83.0,76.0,63.0,0.0,86.0,50.8,8
53220917,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
15446974,31.0,56.0,30.0,16.0,61.0,48.0,16.0,73.0,55.0,77.0,46.3,10
59293621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
82214753,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,75.0,100.0,96.4,10
21815986,71.0,29.0,100.0,41.0,11.0,77.0,3.0,44.0,0.0,0.0,37.6,8
89660073,98.0,51.0,74.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,4
17744422,88.0,13.0,11.0,39.0,16.0,71.0,19.0,12.0,0.0,87.0,35.6,9
13845265,100.0,97.0,100.0,80.0,49.0,0.0,30.0,71.0,93.0,100.0,72.0,9
55418801,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,0.0,88.9,9
32150780,100.0,100.0,100.0,100.0,78.0,100.0,77.0,100.0,45.0,100.0,90.0,10
40541902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96584519,100.0,100.0,100.0,88.0,100.0,94.0,76.0,39.0,0.0,0.0,69.7,8
48627789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.4,1
75234910,100.0,100.0,100.0,90.0,97.0,100.0,84.0,100.0,85.0,100.0,95.6,10
37734403,100.0,100.0,100.0,100.0,100.0,89.0,35.0,100.0,0.0,0.0,72.4,8
54202295,33.0,48.0,97.0,9.0,67.0,67.0,54.0,100.0,100.0,100.0,67.5,10
43297874,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
79670982,100.0,45.0,97.0,100.0,40.0,58.0,9.0,0.0,68.0,43.0,56.0,9
21910507,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,10
77958105,98.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0,43.0,93.2,10
24014421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28613839,100.0,100.0,100.0,90.0,91.0,100.0,24.0,90.0,75.0,0.0,77.0,9
11435169,100.0,100.0,100.0,94.0,66.0,100.0,65.0,80.0,40.0,29.0,77.4,10
48251029,100.0,100.0,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,97.8,10
24642845,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4
32793157,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
53033989,25.0,40.0,44.0,70.0,49.0,44.0,40.0,95.0,0.0,0.0,40.7,8
45213749,100.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3
97775926,100.0,0.0,100.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,27.3,3
76931823,100.0,86.0,99.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,32.4,5
77783669,100.0,100.0,100.0,100.0,100.0,100.0,79.0,98.0,25.0,57.0,85.9,10
56197684,0.0,0.0,0.0,0.0,0.0,33.0,16.0,40.0,0.0,60.0,14.9,4
67563666,100.0,97.0,100.0,100.0,94.0,93.0,90.0,95.0,75.0,100.0,94.4,10
91799031,38.0,86.0,12.0,90.0,62.0,60.0,34.0,64.0,0.0,100.0,54.6,9
91779366,100.0,100.0,100.0,100.0,27.0,83.0,28.0,29.0,50.0,97.0,71.4,10
37503866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
35282012,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,97.5,10
18065078,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,0.0,71.0,85.3,9
79927954,100.0,100.0,100.0,90.0,100.0,100.0,94.0,100.0,75.0,43.0,90.2,10
49135579,38.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2
43426555,100.0,100.0,100.0,100.0,100.0,84.0,82.0,100.0,25.0,71.0,86.2,10
