Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
94059794,100.0,90.0,100.0,80.0,100.0,56.0,100.0,100.0,100.0,100.0
46244140,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
82996017,50.0,56.0,0.0,29.0,65.0,83.0,76.0,63.0,0.0,86.0
53220917,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15446974,31.0,56.0,30.0,16.0,61.0,48.0,16.0,73.0,55.0,77.0
59293621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
82214753,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,75.0,100.0
21815986,71.0,29.0,100.0,41.0,11.0,77.0,3.0,44.0,0.0,0.0
89660073,98.0,51.0,74.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
17744422,88.0,13.0,11.0,39.0,16.0,71.0,19.0,12.0,0.0,87.0
13845265,100.0,97.0,100.0,80.0,49.0,0.0,30.0,71.0,93.0,100.0
55418801,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,0.0
32150780,100.0,100.0,100.0,100.0,78.0,100.0,77.0,100.0,45.0,100.0
40541902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96584519,100.0,100.0,100.0,88.0,100.0,94.0,76.0,39.0,0.0,0.0
48627789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
75234910,100.0,100.0,100.0,90.0,97.0,100.0,84.0,100.0,85.0,100.0
37734403,100.0,100.0,100.0,100.0,100.0,89.0,35.0,100.0,0.0,0.0
54202295,33.0,48.0,97.0,9.0,67.0,67.0,54.0,100.0,100.0,100.0
43297874,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
79670982,100.0,45.0,97.0,100.0,40.0,58.0,9.0,0.0,68.0,43.0
21910507,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
77958105,98.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0,43.0
