mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6051065921783447,0.14431859087109453,0.05586686134338379,0.005902854048014807,10,log2,2,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",-0.008010755851040718,0.22623253190572068,0.3169758385316358,0.5343896918906927,0.5403514107121845,0.3219877434378386,0.20537305965064265,22
2.5010666847229004,0.1431497264535311,0.09256649017333984,0.012445622569927903,10,log2,2,500,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500}",-0.00867702416027849,0.2274402198154103,0.31353663994069925,0.5320417202967906,0.5435105366435969,0.3215704185072437,0.20569102761551059,24
2.4598083972930906,0.10490010648938428,0.08969531059265137,0.008938192345632085,10,sqrt,2,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}",-0.00867702416027849,0.2274402198154103,0.31353663994069925,0.5320417202967906,0.5435105366435969,0.3215704185072437,0.20569102761551059,24
0.5056960582733154,0.026324072134916898,0.01940765380859375,0.0010783057487328653,10,sqrt,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",-0.010532086866699375,0.2244435037069319,0.3120466505399009,0.5358181652049774,0.5402695196308606,0.32040915044319423,0.2066596549355118,26
0.49464783668518064,0.044857168927468334,0.021486377716064452,0.003678028450669673,10,log2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",-0.010532086866699375,0.2244435037069319,0.3120466505399009,0.5358181652049774,0.5402695196308606,0.32040915044319423,0.2066596549355118,26
5.548482370376587,0.3080816931034448,0.10674324035644531,0.025683720570236743,20,1.0,10,500,"{'max_depth': 20, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 500}",-0.012883873386974498,0.21892912622241123,0.3162290327916688,0.5286193873175522,0.540963875356874,0.3183715096603063,0.20657930097399083,28
3.2043713092803956,0.13560285840519928,0.0628769874572754,0.00853145154612826,20,1.0,10,300,"{'max_depth': 20, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 300}",-0.013732492514400674,0.21757491289406405,0.3181459178429684,0.5279138665770418,0.5409648901183679,0.3181734189836083,0.20683746722398685,29
5.422999858856201,0.28900861500527386,0.0992654800415039,0.012209725522753928,30,1.0,10,500,"{'max_depth': 30, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 500}",-0.013614614421217475,0.218825137816835,0.31608822127329783,0.5286402273637698,0.5403747868624919,0.3180627517790354,0.20670142341636297,30
6.353981447219849,0.5311185384702103,0.08396444320678711,0.012035807271186773,,1.0,10,500,"{'max_depth': None, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 500}",-0.013657981174535427,0.21882888660468958,0.31608130769006637,0.5286411473208874,0.5403779389986627,0.31805425988795416,0.20671585984935445,31
2.964070510864258,0.1274164638590106,0.05804629325866699,0.007383311061741779,30,1.0,10,300,"{'max_depth': 30, 'max_features': 1.0, 'min_samples_split': 10, 'n_estimators': 300}",-0.014511966940267795,0.21736681207785558,0.31779771322724226,0.5278243814015087,0.5402707091006845,0.31774952977340465,0.20694033587861632,32
