mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5374472141265869,0.10496256147876992,0.02350764274597168,0.009491947891084982,1.0,0.1,0.01,5,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",0.0010813720673052973,0.2455769300104229,0.3564364141413582,0.5788155180626608,0.588882841732209,0.35415861520279124,0.2200113164679474,21
0.3896327018737793,0.03262606924705831,0.018896198272705077,0.002254295283560522,1.0,0.2,0.01,5,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",0.0010813720673052973,0.2455769300104229,0.3564364141413582,0.5788144884046995,0.588882841732209,0.354158409271199,0.22001110618835015,22
0.401608943939209,0.028560617936291815,0.018947887420654296,0.001007033458988948,1.0,0.1,0.01,5,5,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.8}",0.0014501241902059592,0.24808018012887478,0.35647553662175113,0.5803749626654674,0.5832472340284407,0.353925607526948,0.21877680033169908,23
0.48839831352233887,0.12929207971267492,0.01951909065246582,0.0031021927470532376,1.0,0.2,0.01,5,5,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 400, 'subsample': 0.8}",0.0014501066830534537,0.24808018012887478,0.35647553662175113,0.5803749626654674,0.5832472340284407,0.35392560402551754,0.2187768059729207,24
0.44453868865966795,0.035235625186659125,0.06056828498840332,0.08422240607572194,1.0,0.2,0.01,6,9,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 300, 'subsample': 0.8}",0.010322711334632584,0.24977713216621966,0.3443199721634045,0.5678374733258873,0.5872628123620673,0.35190402027044226,0.21409634599269564,25
0.5423726558685302,0.13038185428476934,0.21377573013305665,0.27188830980117074,1.0,0.1,0.01,6,9,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 300, 'subsample': 0.8}",0.010322694238517283,0.24977713216621966,0.3443200975392826,0.567834551612867,0.587262784023612,0.3519034519160997,0.21409575497482428,26
0.4227479934692383,0.03456737572944361,0.023175430297851563,0.0077942267216918725,1.0,0.1,0.01,6,7,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 300, 'subsample': 0.8}",0.00938851674660457,0.25110145824600116,0.34208950785220427,0.5681741604800041,0.5829917806622249,0.35074908479740785,0.21342071524962436,27
0.48899240493774415,0.06844951888092181,0.020296192169189452,0.0010748252000066377,1.0,0.2,0.01,6,7,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 300, 'subsample': 0.8}",0.00938851674660457,0.25109698138759073,0.34208950785220427,0.5681740292018232,0.582994557861247,0.350748718609894,0.2134217109921467,28
0.5175966739654541,0.11915300181042338,0.023011398315429688,0.0076201243861209605,1.0,0.1,0.01,6,5,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}",0.0102867766376179,0.25160460908002746,0.3405506735242264,0.5687498952458816,0.5789494670944735,0.3500282843164454,0.21234188847484356,29
0.42336325645446776,0.030197842070879284,0.04556493759155274,0.03856335018112266,1.0,0.2,0.01,6,5,300,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}",0.010229289553998155,0.25160460908002746,0.3405506735242264,0.5687498952458816,0.5789494719657862,0.35001678787398394,0.21236028554155492,30
0.5991484165191651,0.16564814879154685,0.02053689956665039,0.0040582809747364106,1.0,0.2,0.01,6,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",0.0005783313755948205,0.2417975908396648,0.34358669029101796,0.5705319635643764,0.5836940693572725,0.3480377290855853,0.2177486656052803,31
0.7324700832366944,0.15193586218107116,0.022803211212158205,0.001137462079584636,1.0,0.1,0.01,6,9,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 400, 'subsample': 0.8}",0.0005784037441530776,0.2417975908396648,0.34358678130042086,0.5705287085591214,0.5836940482935828,0.34803710654738856,0.21774797239250662,32
0.4900217533111572,0.04464698293801932,0.022852611541748048,0.002014877188770584,1.0,0.2,0.01,6,7,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 400, 'subsample': 0.8}",2.290553183015298e-05,0.2430309894911512,0.34053069091047394,0.569704378968746,0.5797441150905731,0.3466066159985549,0.2167998159400252,33
0.569489574432373,0.16931009619834586,0.023680639266967774,0.0037558319738430243,1.0,0.1,0.01,6,7,400,0.8,"{'colsample_bytree': 1.0, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 400, 'subsample': 0.8}",-0.00017071027424719887,0.24303488691584796,0.3405306980849421,0.5697044941759335,0.5797414355575153,0.34656816089199827,0.21686080042490363,34
