Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
75611314,67.01,10,-14.32,54.56,1.0,0
75801763,93.73,10,-3.4,38.86,1.0,0
75858315,20.23,3,-91.67,92.28,1.0,3
76060642,80.23,10,-2.96,37.89,1.0,0
76391613,81.12,9,-3.22,46.22,1.0,1
76507076,72.51,9,-15.44,86.63,1.0,1
76647396,59.25,10,-15.89,35.52,1.0,0
77289994,89.19,10,-2.02,41.03,1.0,0
77340750,82.72,10,-6.4,67.41,1.0,0
77384796,42.5,7,-26.33,90.96,1.0,3
77444126,87.19,10,9.18,46.53,1.0,0
77494200,43.69,8,-13.1,90.54,1.0,1
78031580,92.41,10,1.85,45.6,1.0,0
78406188,36.86,4,-15.71,96.31,1.0,6
78552900,30.36,4,-48.2,96.96,1.0,5
78950607,76.9,10,-32.6,75.61,1.0,0
79821067,64.93,10,-27.83,65.89,1.0,0
79951192,80.75,10,-12.9,53.13,1.0,0
80150997,84.72,9,-6.21,40.92,1.0,1
80531466,19.19,3,-91.43,93.88,1.0,7
80606648,98.2,10,3.6,45.0,1.0,0
80760183,96.38,10,-7.25,20.54,1.0,0
81569837,96.25,10,-7.5,58.22,1.0,0
81706345,90.07,10,6.79,26.4,1.0,0
81741765,88.37,10,-11.94,32.27,1.0,0
82066010,65.62,10,-11.13,79.62,1.0,0
82519651,56.09,7,-32.08,80.77,1.0,1
83974048,62.26,9,-19.27,56.86,1.0,1
83982103,32.56,6,-4.09,86.75,1.0,2
84073928,69.66,8,-18.7,22.07,1.0,2
84323262,83.9,10,-25.46,56.89,1.0,0
84693627,25.67,6,-14.42,59.7,1.0,3
85432232,95.19,10,-5.59,20.51,1.0,0
85952204,69.15,10,-19.5,73.19,1.0,0
86450552,100.0,10,0.0,13.19,1.0,0
86480267,35.14,4,-24.29,85.73,1.0,6
86657420,96.67,10,-6.67,40.49,1.0,0
86964735,81.94,10,-12.67,67.16,1.0,0
87089812,94.45,10,-1.34,32.27,1.0,0
87636498,74.86,10,-1.02,45.55,1.0,0
87682575,61.6,10,-13.22,62.05,1.0,0
88408595,82.27,10,-21.93,46.98,1.0,0
88423574,45.66,6,-22.09,90.56,1.0,2
89517857,65.2,9,-23.08,78.23,1.0,1
89951309,69.15,10,-22.88,37.05,1.0,0
90272423,96.47,10,4.13,20.69,1.0,0
90613617,67.46,9,-19.46,70.64,1.0,1
90665092,96.7,10,-3.4,30.98,1.0,0
90743782,55.56,9,-7.26,71.04,1.0,1
91262897,44.88,5,15.1,55.7,1.0,4
91935699,79.08,9,-1.02,74.05,1.0,1
92303132,50.12,8,-12.9,86.32,1.0,1
92809990,81.59,10,-8.11,32.39,1.0,0
93133026,100.0,10,0.0,21.81,1.0,0
93489080,77.94,10,1.82,49.4,1.0,0
93682429,10.0,1,0.0,92.0,1.0,8
93786510,31.14,7,-20.76,91.09,1.0,1
93915612,42.84,5,-21.5,83.61,1.0,3
93925509,41.47,7,-52.31,55.08,1.0,1
93973341,35.75,7,-41.07,80.8,1.0,2
95216424,100.0,10,0.0,26.17,1.0,0
95575949,63.5,7,-3.44,58.04,1.0,2
95770014,15.63,2,-26.93,96.68,1.0,8
96135262,98.07,10,0.13,6.81,1.0,0
96398572,90.47,10,-10.94,61.58,1.0,0
96706041,66.44,10,-32.11,54.66,1.0,0
96792723,61.59,10,-21.04,46.04,1.0,0
97192893,98.0,10,4.0,34.14,1.0,0
97811465,98.33,10,-3.33,27.6,1.0,0
98417175,38.17,4,9.17,47.92,1.0,6
98524573,64.79,10,-18.98,70.44,1.0,0
99057590,66.94,9,-24.7,79.45,1.0,1
99355503,43.49,6,-35.99,91.6,1.0,4
99911171,0.0,0,0.0,100.0,1.0,10
