Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
49940596,69.67,5,-41.0,140.0,0.6
50967821,98.17,6,-3.67,39.0,0.6
51109886,76.67,6,-2.67,50.0,0.6
51246713,97.17,6,-5.67,35.0,0.6
51427713,86.83,6,-26.33,30.0,0.6
51513687,94.5,6,8.33,110.0,0.6
51756795,89.5,6,-21.0,115.0,0.6
52026299,100.0,6,0.0,22.0,0.6
52357886,100.0,6,0.0,32.0,0.6
52425323,73.0,6,0.67,53.0,0.6
52911365,89.33,6,12.0,53.0,0.6
53063229,83.0,6,2.0,54.0,0.6
53292236,71.17,5,-31.0,31.0,0.6
53347481,84.83,6,-3.67,137.0,0.6
53691552,98.33,6,-3.33,127.0,0.6
53957925,97.83,6,-4.33,102.0,0.6
54313853,91.83,6,-16.33,123.0,0.6
54348464,100.0,6,0.0,23.0,0.6
54445555,96.17,6,-7.67,122.0,0.6
54449931,67.17,6,-36.33,140.0,0.6
54641275,91.5,6,-17.0,125.0,0.6
54840987,83.5,6,-23.67,44.0,0.6
54994494,100.0,6,0.0,42.0,0.6
55146620,83.67,6,0.67,29.0,0.6
55399622,73.0,6,-18.67,131.0,0.6
55407966,83.67,6,-14.67,130.0,0.6
55651327,48.33,5,-8.0,111.0,0.6
55672463,99.17,6,-1.67,117.0,0.6
55801775,72.83,6,36.33,127.0,0.6
56051401,88.5,6,-23.0,123.0,0.6
56342855,98.33,6,3.33,23.0,0.6
56404215,100.0,6,0.0,58.0,0.6
56431698,39.0,6,-23.33,140.0,0.6
56526290,99.17,6,-1.67,103.0,0.6
56643669,89.0,6,-3.33,112.0,0.6
57778284,56.67,6,-14.67,129.0,0.6
57800387,100.0,6,0.0,17.0,0.6
58000939,100.0,6,0.0,15.0,0.6
58047508,62.83,4,0.5,140.0,0.6
58157905,90.0,6,1.33,40.0,0.6
58213848,34.83,4,-75.5,114.0,0.6
58339563,79.5,6,-7.67,113.0,0.6
58343093,78.5,6,-35.67,140.0,0.6
58822337,97.83,6,-4.33,46.0,0.6
59003785,66.67,4,0.0,130.0,0.6
59084601,70.17,5,-30.5,126.0,0.6
59134235,100.0,6,0.0,47.0,0.6
59334742,0.0,0,0.0,140.0,0.6
59545049,91.67,6,-16.67,41.0,0.6
59735613,85.17,6,-27.0,130.0,0.6
59784821,0.0,0,0.0,140.0,0.6
59809646,100.0,6,0.0,40.0,0.6
59825857,81.67,5,-5.0,57.0,0.6
59836802,98.83,6,-2.33,31.0,0.6
59893819,100.0,6,0.0,59.0,0.6
59919093,91.17,6,-17.67,48.0,0.6
60261823,96.67,6,-6.67,14.0,0.6
60276362,54.83,6,-23.67,128.0,0.6
60414961,79.83,6,-39.67,37.0,0.6
60432123,100.0,6,0.0,116.0,0.6
60585709,51.33,6,-18.67,129.0,0.6
60912130,79.83,6,-5.0,50.0,0.6
60961279,30.17,3,-14.0,123.0,0.6
61096547,100.0,6,0.0,56.0,0.6
61148442,97.33,6,-5.33,49.0,0.6
61177295,76.5,6,-20.33,132.0,0.6
61255307,59.17,6,-18.33,135.0,0.6
61451399,54.67,6,4.67,121.0,0.6
61497114,72.33,6,-30.67,140.0,0.6
61509943,87.83,6,9.0,47.0,0.6
61717879,72.0,6,9.33,140.0,0.6
