Student ID,TOTAL,Lab 1,Lab 2 ,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
3e8535d6f9ee2320,12.65433333,100.0,100.0,76.0,66.0,67.6,78.0,65.0,0.0,0.0,9.333333333
df0b3a7e2e130332,61.05888095,100.0,100.0,93.57142857,82.0,66.4,100.0,81.75,89.66666667,100.0,100.0
69a9354fdaa74348,7.32952381,100.0,66.66666667,14.28571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40a8c5b8b579fa2a,43.14302381,100.0,90.0,59.28571429,57.2,0.0,86.66666667,13.0,40.0,76.4,100.0
cfc762f23b15d996,59.07666667,100.0,100.0,100.0,86.0,100.0,100.0,69.5,91.66666667,0.0,100.0
ba32c72380e77f0a,28.96357143,80.0,86.66666667,42.85714286,40.0,85.6,66.66666667,52.75,24.66666667,76.4,0.0
fac755e6540758ec,76.225,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
34dd5146abb3fcb2,55.9725,100.0,100.0,100.0,94.0,100.0,100.0,0.0,79.0,100.0,100.0
859d9322e00a2a99,50.34569048,100.0,100.0,78.28571429,63.6,68.2,64.66666667,66.75,69.0,76.4,25.66666667
f81f10323111985a,27.00714286,100.0,100.0,95.71428571,82.0,100.0,100.0,73.0,0.0,73.0,59.0
fa3ad134a6f9eaee,67.73266667,100.0,100.0,90.0,100.0,85.6,100.0,81.25,87.66666667,100.0,100.0
6623050a1401743d,27.12897619,100.0,100.0,95.71428571,100.0,100.0,100.0,100.0,58.33333333,90.6,84.0
83453bb3ad311445,25.05585714,100.0,100.0,14.28571429,94.0,96.8,100.0,62.5,84.0,80.0,0.0
2cf445098167b9a1,62.35638095,100.0,100.0,38.57142857,100.0,78.4,100.0,75.0,84.0,100.0,66.66666667
f64ffc473624e3de,52.07666667,100.0,81.66666667,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
b0a87e2290ac1093,83.09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
a44ed29efbc63e8d,58.61428571,100.0,100.0,71.42857143,60.0,100.0,100.0,100.0,100.0,100.0,100.0
6a6fe1247e65502d,86.805,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ff7759cca31c6f65,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f960d71334635e3c,67.925,100.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0
68e38dd6656347d4,25.71261905,100.0,100.0,71.42857143,80.0,100.0,100.0,75.0,56.83333333,100.0,36.0
49a223d76a72768b,43.24333333,95.0,100.0,100.0,100.0,100.0,100.0,75.0,58.33333333,100.0,0.0
c4f3cb58898353c4,52.29311905,100.0,100.0,71.42857143,84.8,64.0,100.0,73.0,50.33333333,100.0,100.0
9c73860d96d0b71e,26.02302381,100.0,97.5,64.28571429,75.6,41.0,83.33333333,46.25,0.0,0.0,6.333333333
fa84903d6b0c8f6c,85.215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
f70bdb7b8f289f67,62.18130952,100.0,100.0,85.71428571,100.0,80.0,100.0,0.0,75.0,100.0,66.66666667
35429b220d5bd080,3.036,100.0,100.0,100.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0
2a2a5348612d8f8f,56.83866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3feaa67bcf84bca,55.25469048,100.0,100.0,74.28571429,100.0,88.0,100.0,63.75,56.0,90.6,33.33333333
c9307ba3ac508d83,52.58814286,100.0,100.0,45.71428571,72.0,67.6,100.0,71.75,25.0,100.0,10.0
63580a3d7de5c922,75.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cc5d785aed0fb383,72.39583333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333,100.0,100.0
51fe1bc56da6fa45,97.1175,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
c2d2a9ee10f5ab5e,79.915,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0e29464e43853ece,69.015,100.0,100.0,100.0,100.0,92.0,100.0,75.0,100.0,100.0,100.0
17f0fdbd8f4528ee,54.1537619,100.0,97.5,72.14285714,100.0,98.4,56.33333333,50.0,40.0,100.0,0.0
6604127cdf45d34d,37.94707143,100.0,99.16666667,32.85714286,50.0,59.0,64.66666667,25.0,75.33333333,64.6,45.33333333
4ca30d919cb53979,68.645,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
9a2f08686079a542,13.27059524,100.0,100.0,67.14285714,0.0,72.0,100.0,63.0,41.66666667,100.0,0.0
9e446a42ce23cad5,19.69940476,100.0,100.0,68.85714286,100.0,78.0,100.0,89.0,59.16666667,100.0,53.66666667
7496ea52c546aaba,24.385,100.0,100.0,100.0,94.0,72.0,44.33333333,50.0,50.0,80.0,78.66666667
86ff0d04109c1aed,72.62461905,100.0,100.0,91.42857143,91.6,86.8,100.0,48.25,81.83333333,80.8,100.0
2d08e5ad0f4b76cd,17.44795238,100.0,100.0,71.42857143,60.0,52.4,100.0,40.75,56.33333333,55.8,18.33333333
1bd061f6152f1a87,51.56328571,100.0,100.0,71.42857143,100.0,100.0,100.0,75.0,75.0,95.4,100.0
720d2dbc3b68959f,81.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2cfab9595c0652f2,52.92811905,100.0,100.0,81.42857143,86.8,100.0,100.0,79.0,54.33333333,100.0,100.0
9053681666d81bc7,27.79428571,100.0,100.0,11.42857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
