Student ID,EXAM %,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
61320670,23.0,4.0,3.44,4.0,3.04,1.08,2.0,1.08,2.4,0.0,0.0
64022611,45.0,2.52,4.0,4.0,4.0,4.0,2.24,2.88,4.0,1.0,2.28
11796307,73.0,4.0,3.88,4.0,3.6,2.44,2.92,1.68,2.96,0.72,0.84
93746242,83.0,4.0,4.0,4.0,3.6,4.0,4.0,3.76,4.0,3.0,1.72
12705744,8.0,2.52,3.88,4.0,3.48,1.52,2.96,0.48,1.0,0.0,0.0
19481418,61.0,3.52,4.0,4.0,4.0,3.68,4.0,4.0,4.0,1.0,4.0
80233863,44.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41551567,31.0,4.0,4.0,4.0,4.0,1.08,3.32,1.12,1.16,2.0,3.88
72710303,5.0,1.92,0.24,2.24,0.24,0.52,1.32,0.4,1.8,0.0,0.0
96868465,26.0,4.0,4.0,4.0,3.8,4.0,4.0,4.0,4.0,4.0,0.0
34676460,68.0,4.0,4.0,4.0,2.32,4.0,4.0,4.0,4.0,3.2,4.0
29148703,83.0,4.0,4.0,4.0,3.6,4.0,1.32,2.4,2.8,0.0,1.64
80379671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31941812,13.0,4.0,2.0,1.76,0.0,1.44,2.24,3.28,3.36,4.0,3.88
99314912,36.0,4.0,4.0,4.0,4.0,3.56,2.24,4.0,4.0,4.0,4.0
96536296,46.0,4.0,4.0,4.0,2.24,3.56,2.68,3.8,2.0,1.0,4.0
55850738,59.0,4.0,4.0,4.0,4.0,4.0,3.28,4.0,4.0,1.72,4.0
56706132,13.0,4.0,4.0,4.0,3.6,4.0,4.0,3.8,4.0,4.0,4.0
78711694,77.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
49881853,10.0,2.24,1.84,4.0,2.72,3.48,4.0,2.12,2.72,0.0,0.0
43161920,67.0,4.0,4.0,4.0,4.0,4.0,4.0,1.76,2.8,0.2,2.28
86115955,67.0,4.0,4.0,4.0,4.0,3.84,3.72,3.2,4.0,4.0,3.96
58089837,53.0,2.0,4.0,4.0,3.76,3.8,3.52,2.04,4.0,0.0,1.72
90579927,50.0,4.0,4.0,4.0,4.0,3.68,4.0,3.2,4.0,4.0,4.0
74493543,14.0,1.0,3.2,3.48,3.88,3.88,3.12,3.2,4.0,4.0,3.72
21521372,24.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
16937997,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
30995666,6.0,4.0,1.24,2.36,1.92,2.04,3.24,1.92,2.64,0.0,2.6
78208786,0.0,2.0,2.0,0.44,0.8,0.0,0.0,0.0,0.0,0.0,0.0
20031205,32.0,4.0,4.0,4.0,3.96,3.0,3.36,1.64,3.32,2.32,0.4
36493642,0.0,4.0,3.24,4.0,2.0,1.28,0.88,0.4,0.0,0.0,0.0
45077820,31.0,4.0,4.0,4.0,4.0,2.92,2.68,1.4,3.2,0.0,0.0
86159342,10.0,4.0,4.0,4.0,4.0,2.88,3.96,3.6,3.6,0.0,4.0
84936648,26.0,4.0,3.2,3.32,3.52,1.8,2.24,1.56,4.0,3.0,0.0
56524253,0.0,4.0,4.0,2.24,1.52,1.68,2.68,1.04,1.2,2.12,2.04
13081604,17.0,4.0,4.0,4.0,4.0,2.56,2.68,2.04,2.32,0.0,0.0
88117526,19.0,2.0,2.12,0.64,1.76,1.56,3.56,3.2,4.0,1.0,4.0
74315261,26.0,4.0,4.0,4.0,2.8,4.0,1.76,0.32,2.0,0.0,0.0
74847183,73.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
