Student ID,module_code,EXAM %,assessment_number,score,progress_in_semester
70822325,CS161,18.0,1,100.0,0.1
23917602,CS161,61.0,1,100.0,0.1
35888495,CS161,80.0,1,100.0,0.1
95120612,CS161,28.0,1,100.0,0.1
70665806,CS161,82.0,1,100.0,0.1
62846607,CS161,59.0,1,100.0,0.1
48715165,CS161,59.0,1,100.0,0.1
62114010,CS161,45.0,1,100.0,0.1
56526290,CS161,37.0,1,100.0,0.1
81897019,CS161,69.0,1,100.0,0.1
48462369,CS161,4.0,1,35.0,0.1
78282477,CS161,30.0,1,100.0,0.1
73224306,CS161,17.0,1,100.0,0.1
17828528,CS161,60.0,1,100.0,0.1
30901180,CS161,31.0,1,38.0,0.1
78843637,CS161,66.0,1,100.0,0.1
27625814,CS161,51.0,1,100.0,0.1
97156076,CS161,3.0,1,100.0,0.1
61255307,CS161,5.0,1,71.0,0.1
49385116,CS161,26.0,1,100.0,0.1
28563648,CS161,34.0,1,100.0,0.1
53347481,CS161,3.0,1,100.0,0.1
88451462,CS161,83.0,1,100.0,0.1
81577123,CS161,60.0,1,100.0,0.1
14383148,CS161,43.0,1,100.0,0.1
21035456,CS161,73.0,1,50.0,0.1
70265517,CS161,44.0,1,100.0,0.1
74558525,CS161,26.0,1,100.0,0.1
66286017,CS161,13.0,1,100.0,0.1
89230778,CS161,42.0,1,100.0,0.1
55672463,CS161,23.0,1,100.0,0.1
59809646,CS161,60.0,1,100.0,0.1
85516093,CS161,19.0,1,100.0,0.1
61096547,CS161,44.0,1,100.0,0.1
31128159,CS161,45.0,1,100.0,0.1
65061850,CS161,76.0,1,100.0,0.1
72136471,CS161,38.0,1,100.0,0.1
12173443,CS161,12.0,1,31.0,0.1
30511442,CS161,32.0,1,50.0,0.1
41816562,CS161,47.0,1,100.0,0.1
68353261,CS161,65.0,1,100.0,0.1
76138889,CS161,68.0,1,98.0,0.1
70127686,CS161,33.0,1,100.0,0.1
18845591,CS161,43.0,1,100.0,0.1
80307541,CS161,78.0,1,98.0,0.1
92445765,CS161,42.0,1,100.0,0.1
11372849,CS161,83.0,1,100.0,0.1
33699786,CS161,36.0,1,100.0,0.1
60276362,CS161,12.0,1,71.0,0.1
41987800,CS161,30.0,1,100.0,0.1
47759014,CS161,47.0,1,100.0,0.1
44977117,CS161,20.0,1,0.0,0.1
36691348,CS161,27.0,1,99.0,0.1
75210751,CS161,3.0,1,94.0,0.1
64280419,CS161,70.0,1,100.0,0.1
95724042,CS161,57.0,1,75.0,0.1
17916583,CS161,91.0,1,100.0,0.1
48527230,CS161,73.0,1,100.0,0.1
75715775,CS161,17.0,1,100.0,0.1
77434708,CS161,11.0,1,100.0,0.1
70081802,CS161,15.0,1,25.0,0.1
23296864,CS161,3.0,1,100.0,0.1
58213848,CS161,26.0,1,100.0,0.1
73958512,CS161,0.0,1,0.0,0.1
66460544,CS161,65.0,1,100.0,0.1
47844746,CS161,0.0,1,100.0,0.1
74112974,CS161,35.0,1,100.0,0.1
73219758,CS161,54.0,1,100.0,0.1
50967821,CS161,61.0,1,100.0,0.1
53063229,CS161,46.0,1,75.0,0.1
24126422,CS161,17.0,1,50.0,0.1
79836911,CS161,5.0,1,100.0,0.1
80058174,CS161,31.0,1,100.0,0.1
80468427,CS161,23.0,1,100.0,0.1
23504839,CS161,44.0,1,92.0,0.1
45020243,CS161,5.0,1,100.0,0.1
22361337,CS161,28.0,1,96.0,0.1
29697244,CS161,68.0,1,100.0,0.1
19370915,CS161,35.0,1,100.0,0.1
88664967,CS161,63.0,1,100.0,0.1
54840987,CS161,56.0,1,100.0,0.1
62845749,CS161,21.0,1,50.0,0.1
51109886,CS161,50.0,1,34.0,0.1
86167338,CS161,55.0,1,100.0,0.1
59825857,CS161,43.0,1,100.0,0.1
36733977,CS161,75.0,1,100.0,0.1
34171685,CS161,33.0,1,100.0,0.1
48781279,CS161,7.0,1,100.0,0.1
90155569,CS161,33.0,1,100.0,0.1
16274438,CS161,46.0,1,100.0,0.1
73498893,CS161,10.0,1,99.0,0.1
67170149,CS161,49.0,1,100.0,0.1
97027020,CS161,0.0,1,88.0,0.1
95853854,CS161,47.0,1,50.0,0.1
27375601,CS161,6.0,1,99.0,0.1
66626083,CS161,44.0,1,100.0,0.1
25516569,CS161,14.0,1,100.0,0.1
59545049,CS161,59.0,1,100.0,0.1
49612785,CS161,63.0,1,100.0,0.1
60961279,CS161,17.0,1,0.0,0.1
97566637,CS161,25.0,1,0.0,0.1
99801182,CS161,28.0,1,65.0,0.1
24113904,CS161,42.0,1,100.0,0.1
71014394,CS161,35.0,1,100.0,0.1
63281671,CS161,28.0,1,100.0,0.1
74452358,CS161,50.0,1,100.0,0.1
90219343,CS161,34.0,1,100.0,0.1
45627083,CS161,5.0,1,0.0,0.1
25381424,CS161,81.0,1,100.0,0.1
65970573,CS161,28.0,1,100.0,0.1
60912130,CS161,50.0,1,100.0,0.1
