Student ID,TOTAL
22488284,73.51
22436736,25.56
22378831,36.47
22367156,23.83
22524023,7.28
22488564,15.08
22427252,75.73
22506689,67.03
22418114,76.01
19361183,11.68
22385196,51.83
22517459,59.81
22308513,74.61
22380096,86.05
22459984,54.71
22362946,71.57
22447304,27.7
21436344,33.38
22396851,74.37
22336556,71.07
22390316,53.99
22315141,79.5
22777371,24.8
22372011,37.4
22746241,56.83
22466726,88.55
22463716,61.77
22325166,61.27
22794401,54.61
22476182,69.8
22424382,35.23
22378083,52.53
22483144,36.44
22419462,42.48
22386186,74.09
22349571,70.2
22384871,76.5
22417072,27.98
22440604,22.15
22390143,35.34
22708915,55.89
22439324,73.2
22529643,1.72
22364026,53.33
22381291,68.95
22352516,28.21
22354516,42.39
22309136,40.31
22447646,19.26
22307911,56.51
21486854,46.67
22443026,40.39
21472092,0
22414784,8.84
22505083,78.85
22412024,67.25
22769621,43.03
21751595,43.2
22498436,31.93
22441082,84.4
22355823,77.53
22700275,95.55
22422426,0
22482814,46
22488084,71.07
22319601,38.54
22375871,54.59
22363443,77.49
22537403,62.87
22449464,28.22
22784111,0
22725945,42.01
22398806,75.65
22439322,77.31
22302096,46.47
22432154,56.65
22700819,89.21
22397631,51.03
22466012,54.71
22386556,80.57
22502903,8.64
22307143,72.25
22430096,61.95
22382791,79.26
22447776,13.66
22334221,57.17
22314921,63.13
22700525,52.18
22406684,12.66
22429696,44.43
22456206,63.93
21344501,67.61
22401126,45.39
21448202,15.77
22326771,85.33
22389343,46.11
21389846,45.79
22705921,88.56
22522469,40.31
21457374,6.12
22427292,62.59
22345116,21.04
22432602,50.77
22539343,4
22370681,44.43
22350233,86.5
22531966,94.76
22357013,15.46
22388316,27.96
22374823,59.22
22456314,33.76
21346121,76.29
22326953,75.47
22421604,45.92
22329531,55.59
22412586,37.27
22355511,61.25
22484402,48.33
22332623,67.45
22421374,67.83
22388366,5.24
22397323,84.5
22300483,57.01
20460632,45.91
22427364,65.11
22393543,67.07
22723595,79.06
22469184,58.1
22491582,94.88
22502376,11.67
22461476,72.22
22463706,7.38
22378031,48.93
22443742,0.76
22410584,16.72
22469076,81.55
22525336,28.95
22538646,51.51
22360486,78.63
22374833,2.54
22368186,37.25
22250364,52.53
22386073,33.03
22333551,84.87
22700134,44.66
22392076,23.83
22457854,39.95
22323423,26.21
21336733,41.82
22438846,57.06
22925002,40
22427306,82.21
21342293,30.56
22379316,60.13
22418946,77.06
21391601,12.88
22305101,88.27
22425744,48.37
21353316,7.84
22304341,85.12
22306446,77.44
22318013,47.13
22482974,37.39
22350176,95.5
22308241,98.55
22311971,40.79
22368466,70.46
22454346,66.76
22318433,41.79
22510246,28.45
19332191,0
22307973,73.77
22304911,49.45
22484466,90.97
22527466,64.36
22360573,61.97
22420606,39.37
22390303,86.5
21456166,21
22429434,56.56
22409826,65.93
22415476,59.25
22346336,58.19
22378933,87.61
22377791,72
22381926,52.51
22536313,39.09
21454724,50.33
22494082,8.28
20363833,85
22420754,28.08
22381933,78.08
22421296,48.58
22374001,53.71
22341663,56.58
21480484,45.49
22364221,29.86
22484544,29.07
22392456,73.77
22518399,40.32
21500309,26
21141991,23.72
22486886,35.15
22413106,9.58
22310263,23.88
22361383,62.47
22499266,16.28
22308753,57.03
22718425,34.94
22767651,41.57
22419546,70.85
22393956,45.41
22529699,42.62
22366361,11.43
22392773,59.79
22364921,57.46
22387771,47.41
22720919,0
22513643,27.71
22487542,64.14
22451692,52.68
22304646,85.05
22375226,59.6
19367001,0
22749799,88.34
22451412,6.2
22755075,28.3
21463704,22.44
22502479,46.91
22404816,86.19
22521999,58.84
22316776,84.5
22332466,74.48
22518529,70.83
22479012,29.18
22401672,80.91
22753305,38.74
22429072,21.17
22488646,30.49
22460264,32.07
22479996,45.78
22471334,38.51
22333936,50.83
22427092,73.89
22413662,59.09
22347076,61.09
22743405,75.72
22722635,72.59
22925652,92.5
22425994,53.38
22368276,75.37
22439884,62.07
22403642,90.79
22361293,81.5
22252352,75.52
22314466,89.8
22398666,45.57
21516826,69.87
22377241,68.15
22315343,48.94
22713551,95
22468576,56.15
22429246,56.36
22494246,9.4
19424094,79.09
22340186,63.69
22471664,75.11
22414004,47.59
22460216,55.37
22358141,48.77
22365131,57.81
22371501,61.05
22251923,83.66
22386683,43.47
22752021,42.35
21444954,20.11
22453864,63.63
22398441,93.88
22456506,60.35
22484354,53.85
22344893,53.39
22504093,71.78
22301723,22.1
22317971,9.4
21741635,57.19
22392706,55.45
22408796,72.55
22429646,46.05
22507246,59.65
22368533,26.5
22522853,89
22315991,60.45
22531599,42.31
22429416,71.71
22429612,69.17
22700079,46.99
22360101,40.11
22386893,58.11
22413014,45.77
22482972,34.98
22746739,82
22708895,19.28
22776171,68.13
22419086,43.98
22442654,11.64
22443194,81.17
22389753,25.89
22453074,38.2
22501569,51.67
22314381,45.27
22700472,90.5
22395983,26
22384166,35.93
22346936,0
22773195,37.34
22441362,76.32
22380831,73.65
22407892,53.13
22486632,44.21
22330103,53.12
22474072,63.63
22318726,74.55
22515816,56.5
22472672,24.92
22757331,39.93
22320323,74.56
22430754,26.08
22454526,91.88
22474166,34.29
22386636,71.13
22361946,41.56
22712071,12.42
22400824,75
21358313,54.63
22468784,90
21337846,46.11
22356016,36.1
22793481,16.12
22252234,73.98
22474386,17.94
22530833,10.63
22475422,58.51
22466634,32.77
22426422,20.94
22370883,57.19
22388951,15.8
22384303,58.71
22437246,55.87
22510796,71.47
