Student ID,module_code,TOTAL,assessment_number,score,progress_in_semester
93915612,CS161,16.38928571,1,100.0,0.1
84323262,CS161,43.1072619,1,100.0,0.1
70532804,CS161,39.31592857,1,100.0,0.1
26823453,CS161,47.6775,1,100.0,0.1
31466812,CS161,39.08445238,1,100.0,0.1
70207680,CS161,2.586857143,1,100.0,0.1
45411597,CS161,21.64559524,1,100.0,0.1
36559567,CS161,34.20102381,1,100.0,0.1
97192893,CS161,65.855,1,100.0,0.1
78031580,CS161,54.40095238,1,100.0,0.1
91262897,CS161,44.30271429,1,100.0,0.1
29180761,CS161,25.06519048,1,100.0,0.1
52139328,CS161,63.1075,1,100.0,0.1
69577575,CS161,70.58171429,1,91.0,0.1
34106098,CS161,37.2045,1,100.0,0.1
46298750,CS161,35.38042857,1,100.0,0.1
80606648,CS161,55.0025,1,100.0,0.1
30659534,CS161,41.88321429,1,100.0,0.1
77384796,CS161,9.035,1,100.0,0.1
55057476,CS161,59.46071429,1,100.0,0.1
47812491,CS161,42.10852381,1,45.6,0.1
30574788,CS161,2.0,1,100.0,0.1
78406188,CS161,3.685714286,1,100.0,0.1
16367724,CS161,39.05942857,1,100.0,0.1
73618759,CS161,61.99383333,1,100.0,0.1
29219341,CS161,78.922,1,100.0,0.1
20534390,CS161,34.59828571,1,100.0,0.1
19758663,CS161,68.479,1,100.0,0.1
86657420,CS161,59.51166667,1,100.0,0.1
59981065,CS161,67.895,1,100.0,0.1
35228724,CS161,15.59252381,1,100.0,0.1
93786510,CS161,8.9065,1,91.8,0.1
14700855,CS161,61.09628571,1,100.0,0.1
41238410,CS161,22.28666667,1,100.0,0.1
84073928,CS161,77.92857143,1,100.0,0.1
58041923,CS161,15.75295238,1,100.0,0.1
20203060,CS161,35.19535714,1,100.0,0.1
34836465,CS161,73.465,1,100.0,0.1
57558661,CS161,70.18809524,1,100.0,0.1
40745362,CS161,52.4225,1,100.0,0.1
79821067,CS161,34.10516667,1,100.0,0.1
68912516,CS161,73.73745238,1,100.0,0.1
16650465,CS161,42.55892857,1,100.0,0.1
25624838,CS161,50.69833333,1,100.0,0.1
28851363,CS161,68.37,1,100.0,0.1
14859968,CS161,12.45019048,1,89.2,0.1
34435608,CS161,3.085,1,80.0,0.1
53522318,CS161,36.94657143,1,100.0,0.1
89517857,CS161,21.76980952,1,100.0,0.1
31044070,CS161,45.74916667,1,100.0,0.1
67581864,CS161,18.71940476,1,100.0,0.1
32712383,CS161,39.27480952,1,100.0,0.1
46149948,CS161,60.5337619,1,100.0,0.1
33025706,CS161,32.97933333,1,100.0,0.1
37615874,CS161,40.16947619,1,100.0,0.1
30245378,CS161,59.95697619,1,100.0,0.1
65519433,CS161,57.10583333,1,100.0,0.1
68533762,CS161,64.56083333,1,100.0,0.1
46089625,CS161,23.63690476,1,100.0,0.1
99911171,CS161,0.0,1,0.0,0.1
31288217,CS161,58.06428571,1,100.0,0.1
95770014,CS161,3.322666667,1,91.6,0.1
36207660,CS161,64.371,1,100.0,0.1
96792723,CS161,53.9562619,1,94.0,0.1
44415509,CS161,53.15130952,1,100.0,0.1
39591036,CS161,1.0,1,100.0,0.1
32634975,CS161,14.71945238,1,66.6,0.1
99355503,CS161,8.403952381,1,100.0,0.1
98524573,CS161,29.55604762,1,100.0,0.1
83982103,CS161,13.25095238,1,100.0,0.1
32534085,CS161,30.69311905,1,100.0,0.1
22069035,CS161,57.96580952,1,100.0,0.1
71745365,CS161,9.397738095,1,81.0,0.1
54179437,CS161,45.41635714,1,100.0,0.1
63660864,CS161,70.03047619,1,100.0,0.1
96398572,CS161,38.42464286,1,100.0,0.1
43867886,CS161,41.49083333,1,80.0,0.1
31655246,CS161,23.28845238,1,100.0,0.1
60401339,CS161,21.46378571,1,100.0,0.1
18237587,CS161,34.063,1,100.0,0.1
71897140,CS161,21.8025,1,100.0,0.1
26550709,CS161,50.71219048,1,100.0,0.1
84693627,CS161,40.29733333,1,80.0,0.1
69974518,CS161,46.53469048,1,94.0,0.1
73630812,CS161,48.73530952,1,100.0,0.1
13434594,CS161,43.58864286,1,100.0,0.1
77494200,CS161,9.459333333,1,100.0,0.1
85952204,CS161,26.81014286,1,100.0,0.1
25199098,CS161,50.42611905,1,100.0,0.1
70210436,CS161,30.57814286,1,100.0,0.1
51597404,CS161,84.8575,1,100.0,0.1
19516358,CS161,82.63166667,1,100.0,0.1
41437101,CS161,68.5,1,100.0,0.1
95575949,CS161,41.95990476,1,100.0,0.1
13489175,CS161,79.86666667,1,100.0,0.1
12237308,CS161,59.78416667,1,100.0,0.1
80531466,CS161,6.119047619,1,100.0,0.1
32202479,CS161,18.53742857,1,49.0,0.1
31619745,CS161,27.30333333,1,100.0,0.1
32973698,CS161,88.735,1,100.0,0.1
51748245,CS161,69.295,1,100.0,0.1
31483285,CS161,52.74947619,1,100.0,0.1
79951192,CS161,46.87,1,100.0,0.1
71074830,CS161,26.736,1,100.0,0.1
89951309,CS161,62.9522619,1,100.0,0.1
21399574,CS161,57.48785714,1,100.0,0.1
29619407,CS161,24.48159524,1,85.6,0.1
70741130,CS161,31.75778571,1,100.0,0.1
82519651,CS161,19.22909524,1,100.0,0.1
28157718,CS161,11.49778571,1,100.0,0.1
90272423,CS161,79.31416667,1,100.0,0.1
18256197,CS161,55.07047619,1,100.0,0.1
95216424,CS161,73.825,1,100.0,0.1
27227646,CS161,46.92511905,1,100.0,0.1
87636498,CS161,54.44607143,1,100.0,0.1
16052899,CS161,28.55614286,1,100.0,0.1
59471439,CS161,34.6712381,1,100.0,0.1
18864892,CS161,44.0425,1,100.0,0.1
31870945,CS161,41.731,1,100.0,0.1
64481181,CS161,79.58483333,1,100.0,0.1
56823431,CS161,24.58569048,1,100.0,0.1
96706041,CS161,45.33902381,1,100.0,0.1
75858315,CS161,7.720833333,1,100.0,0.1
96135262,CS161,93.18666667,1,100.0,0.1
75611314,CS161,45.44340476,2,100.0,0.2
25053710,CS161,69.0597619,2,100.0,0.2
16153010,CS161,63.3,2,100.0,0.2
77444126,CS161,53.47416667,2,93.0,0.2
69615067,CS161,57.1175,2,100.0,0.2
71714132,CS161,27.16914286,2,100.0,0.2
32050733,CS161,52.55642857,2,100.0,0.2
32199265,CS161,64.74547619,2,100.0,0.2
71347202,CS161,34.9812381,2,100.0,0.2
64732981,CS161,63.86740476,2,100.0,0.2
35638989,CS161,17.50864286,2,100.0,0.2
59163655,CS161,0.0,2,0.0,0.2
41238817,CS161,28.27516667,2,100.0,0.2
35693299,CS161,37.39347619,2,100.0,0.2
88408595,CS161,53.02421429,2,100.0,0.2
24829216,CS161,57.55071429,2,100.0,0.2
24774049,CS161,64.17366667,2,100.0,0.2
93489080,CS161,50.60142857,2,100.0,0.2
81706345,CS161,73.60204762,2,100.0,0.2
77340750,CS161,32.58654762,2,100.0,0.2
99057590,CS161,20.55447619,2,100.0,0.2
73572610,CS161,34.05209524,2,100.0,0.2
52010981,CS161,25.9912619,2,91.66666667,0.2
69766313,CS161,75.96678571,2,100.0,0.2
73368913,CS161,62.79064286,2,0.0,0.2
80760183,CS161,79.4625,2,100.0,0.2
86964735,CS161,32.84371429,2,100.0,0.2
60742408,CS161,63.32928571,2,100.0,0.2
93133026,CS161,78.195,2,100.0,0.2
35195294,CS161,77.90666667,2,99.16666667,0.2
41392674,CS161,28.39195238,2,66.66666667,0.2
90613617,CS161,29.36378571,2,100.0,0.2
93682429,CS161,8.0,2,100.0,0.2
34085243,CS161,12.65433333,2,100.0,0.2
19304298,CS161,61.05888095,2,100.0,0.2
48200382,CS161,7.32952381,2,66.66666667,0.2
83974048,CS161,43.14302381,2,90.0,0.2
80150997,CS161,59.07666667,2,100.0,0.2
90743782,CS161,28.96357143,2,86.66666667,0.2
27821042,CS161,76.225,2,100.0,0.2
68760886,CS161,55.9725,2,100.0,0.2
17369011,CS161,50.34569048,2,100.0,0.2
37949742,CS161,27.00714286,2,100.0,0.2
87089812,CS161,67.73266667,2,100.0,0.2
31604156,CS161,27.12897619,2,100.0,0.2
34534147,CS161,25.05585714,2,100.0,0.2
37802285,CS161,62.35638095,2,100.0,0.2
98417175,CS161,52.07666667,2,81.66666667,0.2
24925539,CS161,83.09,2,100.0,0.2
55480169,CS161,58.61428571,2,100.0,0.2
86450552,CS161,86.805,2,100.0,0.2
24602305,CS161,7.7,2,0.0,0.2
52889027,CS161,67.925,2,100.0,0.2
44697524,CS161,25.71261905,2,100.0,0.2
67765245,CS161,43.24333333,2,100.0,0.2
64169635,CS161,52.29311905,2,100.0,0.2
18835220,CS161,26.02302381,2,97.5,0.2
41886521,CS161,85.215,2,100.0,0.2
45581496,CS161,62.18130952,2,100.0,0.2
78552900,CS161,3.036,2,100.0,0.2
22771717,CS161,56.83866667,2,0.0,0.2
58548383,CS161,55.25469048,2,100.0,0.2
44435353,CS161,52.58814286,2,100.0,0.2
42843256,CS161,75.71,2,100.0,0.2
97811465,CS161,72.39583333,2,100.0,0.2
29238104,CS161,97.1175,2,100.0,0.2
22305824,CS161,79.915,2,100.0,0.2
90665092,CS161,69.015,2,100.0,0.2
19546495,CS161,54.1537619,2,97.5,0.2
87682575,CS161,37.94707143,2,99.16666667,0.2
30404921,CS161,68.645,2,100.0,0.2
11415937,CS161,13.27059524,2,100.0,0.2
66057568,CS161,19.69940476,2,100.0,0.2
78950607,CS161,24.385,2,100.0,0.2
11619654,CS161,72.62461905,2,100.0,0.2
54721717,CS161,17.44795238,2,100.0,0.2
73316563,CS161,51.56328571,2,100.0,0.2
48536684,CS161,81.95,2,100.0,0.2
30938596,CS161,52.92811905,2,100.0,0.2
69106380,CS161,27.79428571,2,100.0,0.2
27811787,CS161,74.9,2,100.0,0.2
27219633,CS161,60.10811905,2,100.0,0.2
76507076,CS161,13.37095238,2,100.0,0.2
53990039,CS161,36.68628571,2,91.33333333,0.2
31707417,CS161,21.27357143,2,66.66666667,0.2
16729597,CS161,18.41219048,2,82.5,0.2
26822069,CS161,70.36666667,2,100.0,0.2
45239869,CS161,41.875,2,100.0,0.2
19581852,CS161,41.85311905,2,100.0,0.2
42705350,CS161,35.91561905,2,100.0,0.2
35961483,CS161,29.77166667,2,100.0,0.2
81741765,CS161,67.72964286,2,100.0,0.2
75801763,CS161,61.14059524,2,100.0,0.2
18021763,CS161,35.4665,2,100.0,0.2
25591540,CS161,14.73833333,2,100.0,0.2
19514933,CS161,41.04711905,2,100.0,0.2
32779192,CS161,3.002142857,2,100.0,0.2
60270104,CS161,60.15571429,2,100.0,0.2
88423574,CS161,9.443452381,2,100.0,0.2
27183343,CS161,34.4835,2,100.0,0.2
27276779,CS161,75.99,2,100.0,0.2
41749388,CS161,83.069,2,100.0,0.2
92809990,CS161,67.61366667,2,100.0,0.2
70068685,CS161,24.00835714,2,66.66666667,0.2
44140322,CS161,34.74835714,2,100.0,0.2
41018065,CS161,13.90571429,2,0.0,0.2
92303132,CS161,13.68219048,2,83.33333333,0.2
70494079,CS161,55.73464286,2,100.0,0.2
74105407,CS161,35.20892857,2,100.0,0.2
31331355,CS161,20.64797619,2,100.0,0.2
52819296,CS161,32.27178571,2,100.0,0.2
77289994,CS161,58.97195238,2,100.0,0.2
52796411,CS161,39.31178571,2,15.83333333,0.2
16112416,CS161,70.747,2,100.0,0.2
85432232,CS161,79.48692857,2,100.0,0.2
93973341,CS161,19.20466667,2,83.33333333,0.2
26829717,CS161,42.891,2,100.0,0.2
34826933,CS161,59.095,2,100.0,0.2
24051593,CS161,34.38583333,2,100.0,0.2
13584790,CS161,50.96157143,2,100.0,0.2
39671270,CS161,34.09714286,2,100.0,0.2
23706913,CS161,36.92245238,2,100.0,0.2
57809216,CS161,69.85,2,100.0,0.2
53690948,CS161,41.41071429,2,100.0,0.2
82066010,CS161,20.38497619,2,90.83333333,0.2
49306699,CS161,13.30661905,2,98.33333333,0.2
93925509,CS161,44.91916667,2,100.0,0.2
23223428,CS161,14.05011905,2,66.66666667,0.2
68170960,CS161,26.68414286,2,85.0,0.2
31783869,CS161,32.13080952,2,100.0,0.2
32751216,CS161,58.81369048,2,100.0,0.2
70467155,CS161,53.63666667,2,100.0,0.2
47053476,CS161,69.05916667,2,100.0,0.2
86480267,CS161,14.27142857,2,100.0,0.2
62722675,CS161,41.5697619,2,100.0,0.2
17650346,CS161,39.65480952,2,100.0,0.2
48342530,CS161,26.6172619,2,100.0,0.2
42625208,CS161,54.97854762,2,83.33333333,0.2
20774325,CS161,28.28292857,2,100.0,0.2
24667465,CS161,65.6275,2,100.0,0.2
29965095,CS161,66.96790476,2,100.0,0.2
11344540,CS161,57.84966667,2,100.0,0.2
33584628,CS161,25.26909524,2,100.0,0.2
39072447,CS161,39.09152381,2,50.0,0.2
17954135,CS161,49.45830952,2,100.0,0.2
76060642,CS161,62.10821429,2,100.0,0.2
49456196,CS161,65.46,2,100.0,0.2
24264303,CS161,52.5605,2,100.0,0.2
81569837,CS161,41.7825,2,100.0,0.2
34026803,CS161,9.841071429,2,25.66666667,0.2
39057051,CS161,29.19366667,2,100.0,0.2
91935699,CS161,25.94761905,2,100.0,0.2
28747258,CS161,77.19845238,2,66.66666667,0.2
60851962,CS161,19.6667619,2,100.0,0.2
76391613,CS161,53.77945238,2,100.0,0.2
19236487,CS161,67.80166667,2,100.0,0.2
48064815,CS161,56.55904762,2,83.33333333,0.2
20031894,CS161,56.0525,2,100.0,0.2
17186416,CS161,47.133,2,100.0,0.2
76647396,CS161,64.47961905,2,52.33333333,0.2
93915612,CS161,16.38928571,2,100.0,0.2
84323262,CS161,43.1072619,2,100.0,0.2
70532804,CS161,39.31592857,2,66.66666667,0.2
26823453,CS161,47.6775,2,100.0,0.2
31466812,CS161,39.08445238,2,97.5,0.2
70207680,CS161,2.586857143,2,50.0,0.2
45411597,CS161,21.64559524,2,100.0,0.2
36559567,CS161,34.20102381,2,100.0,0.2
97192893,CS161,65.855,2,100.0,0.2
78031580,CS161,54.40095238,2,100.0,0.2
91262897,CS161,44.30271429,2,65.0,0.2
29180761,CS161,25.06519048,2,98.0,0.2
52139328,CS161,63.1075,2,100.0,0.2
69577575,CS161,70.58171429,2,100.0,0.2
34106098,CS161,37.2045,2,99.16666667,0.2
46298750,CS161,35.38042857,2,100.0,0.2
80606648,CS161,55.0025,2,100.0,0.2
30659534,CS161,41.88321429,2,100.0,0.2
77384796,CS161,9.035,2,100.0,0.2
55057476,CS161,59.46071429,2,100.0,0.2
47812491,CS161,42.10852381,2,84.66666667,0.2
30574788,CS161,2.0,2,0.0,0.2
78406188,CS161,3.685714286,2,100.0,0.2
16367724,CS161,39.05942857,2,100.0,0.2
